epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9214,3.56083,4.85539,4.2715,0.00027,0.06476,0.00318,0.00088,3.51173,4.99957,4.17472,0.000172505,0.000172505,0.000172505
2,155.328,3.27893,3.9671,3.86804,0.58093,0.07315,0.08115,0.03213,3.34464,4.46899,4.00017,0.000313403,0.000313403,0.000313403
3,230.819,2.87432,3.45559,3.45432,0.53958,0.30227,0.24874,0.11821,2.61644,3.02267,3.29558,0.000419584,0.000419584,0.000419584
4,332.056,2.62049,2.95587,3.10187,0.6327,0.37788,0.42329,0.20282,2.38889,2.50203,2.84328,0.000369778,0.000369778,0.000369778
5,407.459,2.43851,2.54434,2.83427,0.28521,0.40944,0.34151,0.17009,2.42957,3.10925,2.79126,0.000317704,0.000317704,0.000317704
6,506.459,2.31549,2.29617,2.63613,0.55285,0.51903,0.55448,0.31646,2.13237,2.09104,2.52325,0.00026563,0.00026563,0.00026563
7,608.489,2.1943,2.10685,2.52129,0.6631,0.49993,0.54978,0.27006,2.17826,2.31251,2.41206,0.000213556,0.000213556,0.000213556
8,715.957,2.10329,1.98731,2.41031,0.69148,0.6105,0.64513,0.36011,1.96477,1.74716,2.28255,0.000161482,0.000161482,0.000161482
9,1046.26,2.02638,1.85622,2.34778,0.80117,0.6292,0.68228,0.37869,1.95595,1.65546,2.22584,0.000109408,0.000109408,0.000109408
10,1257.47,1.96345,1.76643,2.28505,0.7019,0.64303,0.68421,0.37947,1.91313,1.59172,2.20454,5.7334e-05,5.7334e-05,5.7334e-05
