epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1809.92,1.93935,3.66534,1.61757,0.82381,0.24418,0.50613,0.20435,1.73085,3.31236,1.32655,0.00017255,0.00017255,0.00017255
2,4276.5,1.67129,1.8429,1.42346,0.69558,0.77558,0.77641,0.34031,1.82255,1.72217,1.3855,0.000346162,0.000346162,0.000346162
3,7213.72,1.5243,1.41391,1.32855,0.71498,0.79132,0.84097,0.48448,1.28531,1.35369,1.12703,0.000518037,0.000518037,0.000518037
4,9468.37,1.45487,1.32238,1.30192,0.81136,0.88243,0.90853,0.54283,1.21107,1.1605,1.10498,0.000518189,0.000518189,0.000518189
5,11527.5,1.41278,1.23279,1.27421,0.87897,0.90017,0.93838,0.61426,1.14407,1.03163,1.07063,0.000515585,0.000515585,0.000515585
6,13006.5,1.35663,1.17874,1.25722,0.89125,0.91509,0.9484,0.65425,1.04636,0.98806,1.03834,0.000512981,0.000512981,0.000512981
7,14892.8,1.33612,1.13083,1.23826,0.91271,0.9196,0.95907,0.67611,1.04302,0.9418,1.02534,0.000510378,0.000510378,0.000510378
8,17468.9,1.32592,1.12178,1.24086,0.9082,0.9127,0.94939,0.66726,1.02564,0.93148,1.01683,0.000507774,0.000507774,0.000507774
9,19030.1,1.31493,1.10863,1.23476,0.91473,0.91824,0.95306,0.61521,1.18643,1.01558,1.07912,0.00050517,0.00050517,0.00050517
10,21790.2,1.28059,1.06512,1.21459,0.93782,0.94072,0.97435,0.69718,1.02052,0.85826,1.01092,0.000502567,0.000502567,0.000502567
11,24776.7,1.26794,1.05479,1.20713,0.94802,0.93961,0.97435,0.68244,1.04581,0.86413,1.01999,0.000499963,0.000499963,0.000499963
12,26700.1,1.2658,1.04121,1.20838,0.93814,0.95089,0.96787,0.65776,1.11662,0.90128,1.05265,0.000497359,0.000497359,0.000497359
13,29151.5,1.25118,1.01311,1.19518,0.95538,0.92627,0.97256,0.70086,1.0094,0.86223,1.00343,0.000494756,0.000494756,0.000494756
14,30986.3,1.24423,0.99563,1.1885,0.93859,0.94369,0.9771,0.70966,0.9801,0.79923,0.99362,0.000492152,0.000492152,0.000492152
15,31661.7,1.22638,0.99419,1.18527,0.95238,0.94264,0.9753,0.72136,0.96829,0.7946,0.98719,0.000489548,0.000489548,0.000489548
16,33753.6,1.22433,0.97968,1.18059,0.9564,0.96524,0.97832,0.72121,0.96201,0.77097,0.98898,0.000486945,0.000486945,0.000486945
17,35826.2,1.21156,0.95715,1.17684,0.96458,0.96523,0.98245,0.72813,0.94363,0.76244,0.98316,0.000484341,0.000484341,0.000484341
18,37766.4,1.20306,0.95447,1.177,0.96479,0.96342,0.9835,0.74688,0.90557,0.7159,0.96447,0.000481737,0.000481737,0.000481737
